,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
5305,Matthias Döbert,194 lbs. (88 kg) at 5'10'' (1.78 m),"Dessau-Roßlau, Sachsen-Anhalt (Germany)",3rd December 1986 (age 35),,Viper,,,
5444,unknown,176 lbs. (80 kg) at 5'10'' (1.78 m),"Minneapolis, Minnesota (United States of America)",28th August 1984 (age 37),11th April 2004 (17 years ago),Ryan Cruz,,,
5870,Daniel Haasz,180 lbs. (82 kg) at 6'0'' (1.83 m),Wien (Austria),16th January 1990 (age 32),13th October 2007 (14 years ago),Daniel Haas,,,
6088,Leroy Dunn,220 lbs. (100 kg) at 5'10'' (1.78 m),"London, Greater London, England (United Kingdom)",,25th March 2001 (20 years ago),Leroy Kincaide,,,
6711,Sarah Jones,112 lbs. (51 kg) at 5'5'' (1.65 m),"Wigan, Greater Manchester, England (United Kingdom)",24th May 1986 (age 35),,Minx ,,,
7517,unknown,252 lbs. (114 kg) at 6'3'' (1.91 m),New Zealand,18th June 1928 (age 93),3rd July 1958 (63 years ago),Abe Jacobs,,,
7648,Thiago de Mello Tavares,155 lbs. (70 kg) at 5'7'' (1.70 m),"Florianópolis, Santa Catarina (Brazil)",8th November 1984 (age 37),18th October 2003 (18 years ago),Thiago Tavares,,,
8547,Jeremiah Cole Miller,145 lbs. (66 kg) at 6'1'' (1.85 m),"Augusta, Georgia (United States of America)",26th April 1984 (age 37),3rd June 2005 (16 years ago),Cole Miller,,,
9247,David Jacob Hern,,United Kingdom,1983,,Carbon,,,6'0'' (1.83 m)
9292,Ashley Galbraith,125 lbs. (57 kg) at 5'4'' (1.63 m),"Delta, British Columbia (Canada)",19th May 1986 (age 35),24th November 2003 (18 years ago),Miss Chevius ,,,
9329,Anthony LaCayo,154 lbs. (70 kg) at 5'10'' (1.78 m),"Hayling Island, Hampshire, England (United Kingdom)",17th November 1989 (age 32),20th December 2003 (18 years ago),Ant Lacayo,,,
9965,Nathan Parker Quarry,185 lbs. (84 kg) at 6'0'' (1.83 m),"Arcata, California (United States of America)",18th March 1972 (age 49),8th September 2001 (20 years ago),Nate Quarry,,,
10808,unknown,190 lbs. (86 kg) at 5'9'' (1.75 m),"Seattle, Washington (United States of America)",,,Shiloh Jonze,,,
11803,Maggy Goyette,140 lbs. (64 kg) at 5'2'' (1.57 m),"Granby, Quebec (Canada)",,2004,Kalamity ,,,
12090,Bobby Green,155 lbs. (70 kg) at 5'10'' (1.78 m),"Fontana, California (United States of America)",9th September 1986 (age 35),19th January 2008 (14 years ago),Bobby Green,,,
12593,Aaron Michael Simpson,170 lbs. (77 kg) at 6'0'' (1.83 m),"Gunnison, Colorado (United States of America)",20th July 1974 (age 47),5th October 2007 (14 years ago),Aaron Simpson,,,
12678,Shane Derrick Roller,155 lbs. (70 kg) at 5'10'' (1.78 m),"Bixby, Oklahoma (United States of America)",14th July 1979 (age 42),28th September 2007 (14 years ago),Shane Roller,,,
12725,Maxwell McGuirk,218 lbs. (99 kg) at 6'2'' (1.88 m),"Tulsa, Oklahoma (United States of America)",29th May 1985 (age 36),29th March 2008 (13 years ago),Max McGuirk,,,
12968,José Felipe Beltran,205 lbs. (93 kg) at 6'1'' (1.85 m),"San Diego, California (United States of America)",8th December 1981 (age 40),10th February 2007 (15 years ago),Joey Beltran,,,
13269,unknown,230 lbs. (104 kg) at 6'0'' (1.83 m),United Kingdom,,,Aaron Adonis,,,
14010,unknown,224 lbs. (102 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",,2006,Strangler Davis,,,
15803,unknown,222 lbs. (101 kg) at 6'0'' (1.83 m),"Chillicothe, Ohio (United States of America)",19th January 1985 (age 37),2008,Ron Mathis,,,
15914,Rie Kato,126 lbs. (57 kg) at 5'2'' (1.57 m),"Yuki, Ibaraki (Japan)",16th March 1973 (age 48),4th October 1991 (30 years ago),Rie Tamada ,,,
17424,Johnny Serrano Yedra,,"Pachuca, Hidalgo (Mexico)",11th March 1991 (age 30),2006,Ciclope,,,
18297,Ben Forbes,,,4th November 1983 (age 38),,Stryknyn,,,
18603,Tina San Antonio,,"New York City, New York (United States of America)",7th July ???,??th May 2009,Tina San Antonio ,,,5'2'' (1.57 m)
18624,Maiquel José Falção Goncalves,185 lbs. (84 kg) at 5'11'' (1.80 m),Rio Grande do Sul (Brazil),,24th April 2004 (17 years ago),Maiquel Falção,,,
18632,Brandon Graver,,"Lancaster, Pennsylvania (United States of America)",12th June 1985 (age 36),8th September 2007 (14 years ago),G-Raver,,,5'9'' (1.75 m)
18641,unknown,204 lbs. (93 kg) at 6'3'' (1.91 m),,,2007,Jeckles the Jester,,,
19992,Randy Gutierrez,159 lbs. (72 kg) at 5'8'' (1.73 m),"El Paso, Texas (United States of America)",31st August 1981 (age 40),,Randy Terrez,,,
20710,James Nutter,,"Mount Morris, Pennsylvania (United States of America)",,,Jimmy Nutts,,,
22334,Matthias Ruck,209 lbs. (95 kg) at 5'10'' (1.78 m),"Laudenbach, Baden-Württemberg (Germany)",,11th September 2010 (11 years ago),German Eagle,,,
23040,Damien Selvaggio,220 lbs. (100 kg) at 6'0'' (1.83 m),Florida (United States of America),31st August 1982 (age 39),1999,Damien Darling,,,
23041,Andrew Craig,185 lbs. (84 kg) at 6'1'' (1.85 m),"Houston, Texas (United States of America)",15th January 1986 (age 36),22nd May 2010 (11 years ago),Andrew Craig,,,
23945,Andrew Richard Ogle,145 lbs. (66 kg) at 5'9'' (1.75 m),"Newcastle upon Tyne, Tyne and Wear, England (United Kingdom)",16th February 1989 (age 33),18th October 2009 (12 years ago),Andy Ogle,,,
24935,Kelly Robinson,,"Belfast, Belfast, Northern Ireland (United Kingdom)",26th June 1989 (age 32),,Kasey Owens ,,,
25932,unknown,207 lbs. (94 kg) at 6'3'' (1.91 m),United States of America,,2005,Ice Cream Jr.,,,
26377,Mitsuhiro Kitamiya,185 lbs. (84 kg) at 5'8'' (1.73 m),"Tonami, Toyama (Japan)",27th October 1988 (age 33),4th August 2011 (10 years ago),Masa Kitamiya,,,
26928,Joseph Hudson,279 lbs. (127 kg) at 6'3'' (1.91 m),United States of America,,2009,The Question Mark,24th February 2021,,
28047,unknown,185 lbs. (84 kg) at 6'0'' (1.83 m),Mexico,,,Dark Panther,,,
32660,unknown,215 lbs. (98 kg) at 6'0'' (1.83 m),"New York City, New York (United States of America)",10th July 1997 (age 24),8th August 2015 (6 years ago),Isiah Kassidy,,,
1345,Ashley Marie Massaro,112 lbs. (51 kg) at 5'5'' (1.65 m),"New York City, New York (United States of America)",26th May 1979,??th June 2005,Ashley ,16th May 2019,,
113,Charles Wright,260 lbs. (118 kg) at 6'6'' (1.98 m),"Las Vegas, Nevada (United States of America)",16th May 1961 (age 60),16th September 1989 (32 years ago),The Godfather,,,
160,Norman Anthony Smiley,247 lbs. (112 kg) at 6'2'' (1.88 m),"London, Greater London, England (United Kingdom)",28th February 1965 (age 57),1986,Norman Smiley,,,
1685,Ron Heard,264 lbs. (120 kg) at 6'3'' (1.91 m),"Harrisburg, Arkansas (United States of America)",21st December 1948,1972,Ron Bass,7th March 2017,,
478,Lance Wait Hoyt,270 lbs. (122 kg) at 6'8'' (2.03 m),"Hearne, Texas (United States of America)",28th February 1977 (age 45),??th July 2000,Lance Archer,,,
1620,Carl Raymond Stevens,235 lbs. (107 kg) at 5'8'' (1.73 m),"Point Pleasant, West Virginia (United States of America)",5th September 1935,1952,Ray Stevens,3rd May 1996,,
38,Matthew Moore Hardy,236 lbs. (107 kg) at 6'2'' (1.88 m),"Cameron, North Carolina (United States of America)",23rd September 1974 (age 47),15th October 1992 (29 years ago),Matt Hardy,,,
851,Kristopher Pavone,220 lbs. (100 kg) at 5'11'' (1.80 m),"Youngstown, Ohio (United States of America)",2nd May 1980 (age 41),1999,Caylen Croft,,,
7784,Josh D. Koscheck,170 lbs. (77 kg) at 5'10'' (1.78 m),"Waynesburg, Pennsylvania (United States of America)",30th November 1977 (age 44),3rd January 2004 (18 years ago),Josh Koscheck,,,
1540,Michael Davis,300 lbs. (136 kg) at 6'1'' (1.85 m),United States of America,1945,,Bugsy McGraw,,,
18785,Kevin Foote,240 lbs. (109 kg) at 5'10'' (1.78 m),"New York City, New York (United States of America)",9th May 1967 (age 54),1992,Kevin Kelly,,,
893,Gonzalo Javier Aparicio Gómez,198 lbs. (90 kg) at 5'10'' (1.78 m),"Guadalajara, Jalisco (Mexico)",25th April 1975 (age 46),30th April 1992 (29 years ago),El Sagrado,,,
266,Julio Ramírez,180 lbs. (82 kg) at 5'8'' (1.73 m),"New York City, New York (United States of America)",13th October 1983 (age 38),2000,José Maximo,,,
1840,Kevin Christopher Randleman,205 lbs. (93 kg) at 5'10'' (1.78 m),"Sandusky, Ohio (United States of America)",10th August 1971,22nd October 1996 (25 years ago),Kevin Randleman,11th February 2016,,
4474,unknown,185 lbs. (84 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",23rd April 1978 (age 43),6th July 1996 (25 years ago),Metatrón,,,
22842,Eddie Dennis,,"Swansea, Swansea, Wales (United Kingdom)",22nd March 1986 (age 35),,Eddie Dennis,,,6'5'' (1.96 m)
8359,Taryn Nicole Terrell,120 lbs. (54 kg) at 5'6'' (1.68 m),"New Orleans, Louisiana (United States of America)",28th December 1985 (age 36),23rd February 2008 (14 years ago),Taryn Terrell ,,,
69,Patrick Joseph Michael Kenney,230 lbs. (104 kg) at 6'2'' (1.88 m),"Wilmington, Delaware (United States of America)",26th May 1968 (age 53),1991,Simon Diamond,,,
1009,James Golden,252 lbs. (114 kg) at 6'5'' (1.96 m),"Bucksnort, Tennessee (United States of America)",1st August 1950 (age 71),1968,Jimmy Golden,,,
955,John Preston Parsonage,222 lbs. (101 kg) at 5'10'' (1.78 m),"Merritt, British Columbia (Canada)",27th April 1974 (age 47),27th October 1997 (24 years ago),Johnny Devine,,,
74,Gary Wolfe,243 lbs. (110 kg) at 6'3'' (1.91 m),"Hammonton, New Jersey (United States of America)",11th March 1966 (age 55),??th September 1988,Gary Wolfe,,,
140,Glen Gilbernetti,240 lbs. (109 kg) at 6'1'' (1.85 m),"New York City, New York (United States of America)",12th November 1968 (age 53),20th November 1991 (30 years ago),Glenn Gilbertti,,,
1083,Gertrude Elizabeth Vachon,140 lbs. (64 kg) at 5'6'' (1.68 m),"Atlanta, Georgia (United States of America)",12th January 1962,1985,Luna Vachon ,27th August 2010,,
1300,Daniel López López,214 lbs. (97 kg) at 5'9'' (1.75 m),"Guadalajara, Jalisco (Mexico)",26th October 1949 (age 72),1973,El Satánico,,,
886,Paul Centopani,244 lbs. (111 kg) at 6'0'' (1.83 m),"Kensington, Kentucky (United States of America)",29th April 1960 (age 61),1984,Paul Roma,,,
295,Roy Wayne Ferris,235 lbs. (107 kg) at 6'1'' (1.85 m),"Bolivar, Tennessee (United States of America)",25th January 1953 (age 69),,Honky Tonk Man,,,
547,Ryusuke Taguchi,201 lbs. (91 kg) at 5'11'' (1.80 m),"Iwanuma, Miyagi (Japan)",12th April 1979 (age 42),22nd November 2002 (19 years ago),Ryusuke Taguchi,,,
508,Vincent Jerrelle Clark,184 lbs. (83 kg) at 5'6'' (1.68 m),"Cleveland, Ohio (United States of America)",8th December 1975 (age 46),2000,Jerrelle Clark,,,
5412,Danny Woodward,,"Wigan, Greater Manchester, England (United Kingdom)",1984,,Danny Hope,,199 lbs. (90 kg),
11752,Teri Byrne,109 lbs. (49 kg) at 5'3'' (1.60 m),"Pensacola, Florida (United States of America)",11th April 1972 (age 49),1997,Fyre ,,,
644,Marcel Gauthier,85 lbs. (39 kg) at 3'5'' (1.04 m),"Montréal, Quebec (Canada)",21st July 1928,9th October 1947 (74 years ago),Sky Low Low,6th November 1998,,
1063,Jay S. York,260 lbs. (118 kg) at 6'4'' (1.93 m),United States of America,4th August 1938,,Jay York,7th October 1995,,
1373,Mike Faso,188 lbs. (85 kg) at 5'6'' (1.68 m),"Las Vegas, Nevada (United States of America)",,1998,Vic Capri,,,
1842,Maurice Smith,220 lbs. (100 kg) at 6'2'' (1.88 m),"Seattle, Washington (United States of America)",13th December 1961 (age 60),1980,Maurice Smith,,,
2011,Tracy Castillo-Sharrer,135 lbs. (61 kg) at 5'6'' (1.68 m),Hawaii (United States of America),24th September 1980 (age 41),,Tracy Taylor ,,,
2115,Frank George Faketty,170 lbs. (77 kg) at 5'8'' (1.73 m),Michigan (United States of America),21st May 1919,,Karl Von Hess,12th August 2009,,
2250,Charles Richards,,"Weehawken, New Jersey (United States of America)",1930,,Chuck Richards,21st July 1995,,
2423,unknown,180 lbs. (82 kg) at 5'6'' (1.68 m),United States of America,,,Zokre,,,
2687,Michael Walden,340 lbs. (154 kg) at 6'4'' (1.93 m),"Louisville, Kentucky (United States of America)",16th June 1976 (age 45),1996,Cash Flo,,,
3880,unknown,166 lbs. (75 kg) at 5'7'' (1.70 m),"Tipton, West Midlands, England (United Kingdom)",,2001,Lee Hunter,,,
4138,James Dunn,233 lbs. (106 kg) at 6'1'' (1.85 m),"Swindon, Wiltshire, England (United Kingdom)",26th December 1983 (age 38),,JD Knight,,,
5221,unknown,220 lbs. (100 kg) at 6'2'' (1.88 m),"Detroit, Michigan (United States of America)",12th November 1956 (age 65),16th June 1974 (47 years ago),Billy Anderson,,,
5752,Andrew Watson,198 lbs. (90 kg) at 6'0'' (1.83 m),"Glasgow, Glasgow, Scotland (United Kingdom)",17th June 1986 (age 35),24th September 2002 (19 years ago),Red Lightning,,,
5949,Sandor Szabo,225 lbs. (102 kg) at 6'0'' (1.83 m),"Koice, Koice (Slovakia)",4th January 1906,,Sandor Szabo,16th October 1966,,
7312,Vincente Denigris,,"Buenos Aires, Ciudad Autónoma de Buenos Aires (Argentina)",1943,,Vittorio Apollo,2nd August 1984,,
7463,unknown,185 lbs. (84 kg) at 5'10'' (1.78 m),"Philadelphia, Pennsylvania (United States of America)",26th November 1981 (age 40),13th July 2002 (19 years ago),Robere' Shields,,,
7560,Yoshiyuki Yoshida,170 lbs. (77 kg) at 5'11'' (1.80 m),"Tokyo, Tokyo (Japan)",10th May 1974 (age 47),6th February 2005 (17 years ago),Yoshiyuki Yoshida,,,
8155,Alexander Bruno,150 lbs. (68 kg) at 5'10'' (1.78 m),"Hamilton, Ontario (Canada)",16th June 1989 (age 32),5th August 2005 (16 years ago),Alex York,,,
8536,Jeremy Graham Horn,185 lbs. (84 kg) at 6'2'' (1.88 m),"Omaha, Nebraska (United States of America)",25th August 1975 (age 46),1st March 1996 (26 years ago),Jeremy Horn,,,
9176,unknown,,"Lagos de Moreno, Jalisco (Mexico)",1986,5th May 2007 (14 years ago),El Hijo del Máscara Año Dos Mil,,,5'10'' (1.78 m)
9823,Benjamin Saunders,170 lbs. (77 kg) at 6'3'' (1.91 m),"Orlando, Florida (United States of America)",13th April 1983 (age 38),1st May 2004 (17 years ago),Ben Saunders,,,
10586,Murilo Rua,185 lbs. (84 kg) at 5'11'' (1.80 m),"Curitiba, Paraná (Brazil)",22nd May 1980 (age 41),27th May 2000 (21 years ago),Murilo Rua,,,
12752,Antonio Banuelos,135 lbs. (61 kg) at 5'3'' (1.60 m),"Tulare, California (United States of America)",23rd September 1979 (age 42),15th June 2001 (20 years ago),Antonio Banuelos,,,
15025,unknown,208 lbs. (94 kg) at 6'0'' (1.83 m),United Kingdom,,,Wolf Alexander,,,
15567,Melanie Goranson,175 lbs. (79 kg) at 6'0'' (1.83 m),"Elk Grove Village, Illinois (United States of America)",7th January 1987 (age 35),26th April 2008 (13 years ago),Mel ,,,
15687,Arthur E. Pittman Jr.,375 lbs. (170 kg) at 6'2'' (1.88 m),"Wiesbaden, Hessen (Germany)",2nd September ???,1st December 2007 (14 years ago),Nui the Samoan Tsunami,,,
17855,Kyle Watson,155 lbs. (70 kg) at 6'0'' (1.83 m),"Litchfield, Illinois (United States of America)",9th August 1979 (age 42),22nd March 2003 (18 years ago),Kyle Watson,,,
19605,unknown,166 lbs. (75 kg) at 5'8'' (1.73 m),,,2010,Kobald,,,
19794,John Olav Einemo,255 lbs. (116 kg) at 6'6'' (1.98 m),"Oslo, Oslo (Norway)",10th December 1975 (age 46),6th October 2000 (21 years ago),John Olav Einemo,,,
21570,Louis Gaudinot,125 lbs. (57 kg) at 5'3'' (1.60 m),"Yonkers, New York (United States of America)",28th August 1984 (age 37),17th April 2009 (12 years ago),Louis Gaudinot,,,
23394,unknown,,United Kingdom,15th April 1985 (age 36),,Clint Margera,,,
30491,Courtney Stewart,150 lbs. (68 kg) at 5'7'' (1.70 m),"Glasgow, Glasgow, Scotland (United Kingdom)",2nd February 1994 (age 28),,Isla Dawn ,,,
30808,Tomoyuki Oka,254 lbs. (115 kg) at 6'1'' (1.85 m),"Maebashi, Gunma (Japan)",12th June 1991 (age 30),25th February 2016 (6 years ago),Great-O-Khan,,,
31891,Samantha Allen,150 lbs. (68 kg) at 5'7'' (1.70 m),"London, Greater London, England (United Kingdom)",17th October 1988 (age 33),16th November 2014 (7 years ago),Nina Samuels ,,,
5833,Steve Scott,200 lbs. (91 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",4th March 1984 (age 38),5th July 2003 (18 years ago),Crazzy Steve,,,
30943,Macey Estrella-Kadlec,130 lbs. (59 kg) at 5'8'' (1.73 m),Georgia (United States of America),24th March 1990 (age 31),2014,Lacey Evans ,,,
1754,Patricia Seymour,162 lbs. (73 kg) at 5'7'' (1.70 m),"Tampa, Florida (United States of America)",23rd January 1960 (age 62),1975,Leilani Kai ,,,
178,Jason Broyles,239 lbs. (108 kg) at 6'2'' (1.88 m),"Atlantic City, New Jersey (United States of America)",,1989,EZ Money,,,
3186,Kazuo Sakurada,260 lbs. (118 kg) at 6'2'' (1.88 m),"Abashiri, Hokkaido (Japan)",26th September 1948,1971,Kazuo Sakurada,12th January 2020,,
11211,Jeffrey Monson,235 lbs. (107 kg) at 5'9'' (1.75 m),"St. Paul, Minnesota (United States of America)",18th January 1971 (age 51),14th March 1998 (23 years ago),Jeff Monson,,,
510,Tracy Brookshaw,127 lbs. (58 kg) at 5'4'' (1.63 m),"St. Marys, Ontario (Canada)",22nd May 1975 (age 46),??th January 2001,Traci Brooks ,,,
3126,Marie Kristin Gabert,210 lbs. (95 kg) at 6'1'' (1.85 m),"Berlin, Berlin (Germany)",4th June 1982 (age 39),7th April 2001 (20 years ago),Jazzy Gabert ,,,
9486,Shayna Andrea Baszler,136 lbs. (62 kg) at 5'7'' (1.70 m),"Sioux Falls, South Dakota (United States of America)",8th August 1980 (age 41),31st October 2003 (18 years ago),Shayna Baszler ,,,
1643,John Lanza,245 lbs. (111 kg) at 6'2'' (1.88 m),"Laredo, Texas (United States of America)",14th October 1935,1961,Jack Lanza,8th December 2021,,
6021,Joseph Curtis Hennig,228 lbs. (103 kg) at 6'3'' (1.91 m),"Champlin, Minnesota (United States of America)",1st October 1979 (age 42),2006,Curtis Axel,,,
820,David Everett Ferrier,230 lbs. (104 kg) at 5'10'' (1.78 m),"Mercer, Pennsylvania (United States of America)",30th November 1962,1983,Jimmy Del Ray,6th December 2014,,
5758,Kenneth Johnson,200 lbs. (91 kg) at 5'11'' (1.80 m),"Fort Worth, Texas (United States of America)",8th December 1957 (age 64),1986,Reverend Slick,,,
439,Nicholas David Dinsmore,226 lbs. (103 kg) at 6'0'' (1.83 m),"Jeffersonville, Indiana (United States of America)",17th December 1975 (age 46),1997,Nick Dinsmore,,,
5437,unknown,194 lbs. (88 kg) at 5'10'' (1.78 m),"Atlixco, Puebla (Mexico)",8th August 1985 (age 36),7th February 2004 (18 years ago),Guerrero Maya Jr.,,,
95,Eduardo Aníbal González Hernández,176 lbs. (80 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",23rd November 1974 (age 47),13th March 1992 (29 years ago),Juventud Guerrera,,,
318,Andrew Vassos,212 lbs. (96 kg) at 6'0'' (1.83 m),"Modesto, California (United States of America)",10th January 1976 (age 46),29th June 1996 (25 years ago),Donovan Morgan,,,
1190,Michel Pigeon,280 lbs. (127 kg) at 6'1'' (1.85 m),"Godbout, Quebec (Canada)",31st August 1944,1965,Jos LeDuc,1st May 1999,,
6080,Judith Hardee,,"Houston, Texas (United States of America)",8th October 1955 (age 66),1978,Judy Martin ,,,5'6'' (1.68 m)
15137,Jody Ray Kristofferson,264 lbs. (120 kg) at 6'1'' (1.85 m),Hawaii (United States of America),21st May 1985 (age 36),26th April 2009 (12 years ago),Jody Kristofferson,,,
37155,Tyler Senerchia,201 lbs. (91 kg) at 5'10'' (1.78 m),"Massapequa, New York (United States of America)",4th May 1999 (age 22),8th December 2021,Hook,,,
539,Atsushi Yanagisawa,230 lbs. (104 kg) at 6'3'' (1.91 m),"Aomori, Aomori (Japan)",22nd June 1972 (age 49),19th April 1992 (29 years ago),Ryushi Yanagisawa,,,
1071,Richard Clements,174 lbs. (79 kg) at 6'0'' (1.83 m),"San Diego, California (United States of America)",,,Quicksilver,,,
1227,Sean Casey,209 lbs. (95 kg) at 5'9'' (1.75 m),"Cincinnati, Ohio (United States of America)",1st February 1972 (age 50),1993,Sean Casey,,,
3931,Scott Schnurr,201 lbs. (91 kg) at 5'9'' (1.75 m),"Kelowna, British Columbia (Canada)",10th November 1978 (age 43),26th December 2000 (21 years ago),Scotty Mac,,,
5175,Dirk Nicolai,254 lbs. (115 kg) at 5'8'' (1.73 m),"Flörsheim am Main, Hessen (Germany)",18th February 1980 (age 42),2nd June 2007 (14 years ago),Nok Su Kau,,,
5482,Ib Solvang Hansen,300 lbs. (136 kg) at 6'1'' (1.85 m),"Odense, Syddanmark (Denmark)",1st August 1934,1960,Eric the Animal,16th November 1978,,
5611,Michael Majalahti,209 lbs. (95 kg) at 5'11'' (1.80 m),"Timmins, Ontario (Canada)",24th April 1973 (age 48),7th January 1994 (28 years ago),Starbuck,,,
9959,Daniel James Miller,170 lbs. (77 kg) at 6'1'' (1.85 m),"Sparta, New Jersey (United States of America)",30th June 1981 (age 40),19th November 2005 (16 years ago),Dan Miller,,,
